Department: CSE

Department Faculty Codes: 
MAT ,EVS ,FDS ,FPSD,BEEE,MEN ,SPR ,HSE ,Lab-FPSD,Lab-HSE,Lab-EPL,
YK,NP,BSK,RK,BR,AB,SP,PS,RK,PS,BU,
Section: A

Day,1,2,3,4,,5,6,
MON,MAT ,Lab-EPL,Lab-EPL,Lab-EPL,Break,FDS ,FPSD,
TUE,BEEE,FDS ,FPSD,EVS ,Break,SPR ,MEN ,
WED,FDS ,HSE ,FPSD,MAT ,Break,BEEE,EVS ,
THU,Lab-HSE,Lab-HSE,MAT ,BEEE,Break,EVS ,MAT ,
FRI,HSE ,Lab-FPSD,Lab-FPSD,Lab-FPSD,Break,MAT ,BEEE,

Section: B

Day,1,2,3,4,,5,6,
MON,FPSD,FDS ,HSE ,MEN ,Break,EVS ,MAT ,
TUE,Lab-EPL,Lab-EPL,Lab-EPL,BEEE,Break,FDS ,HSE ,
WED,MAT ,Lab-FPSD,Lab-FPSD,Lab-FPSD,Break,EVS ,BEEE,
THU,BEEE,MAT ,Lab-HSE,Lab-HSE,Break,FPSD,EVS ,
FRI,MAT ,FDS ,BEEE,MAT ,Break,FPSD,SPR ,





Department: ECE

Department Faculty Codes: 
MAT ,EVS ,FED ,CNA,BEIE,MEN ,SPR ,HSE ,Lab-CDL,Lab-HSE,Lab-CNA,
GK,MSM,VV,BR,GRV,SP,NA,PS,RK,PS,BU,
Section: A

Day,1,2,3,4,,5,6,
MON,Lab-CNA,Lab-CNA,Lab-CNA,EVS ,Break,BEIE,MAT ,
TUE,EVS ,BEIE,MEN ,CNA,Break,HSE ,SPR ,
WED,BEIE,HSE ,CNA,FED ,Break,MAT ,EVS ,
THU,MAT ,Lab-CDL,Lab-CDL,Lab-CDL,Break,FED ,CNA,
FRI,MAT ,FED ,Lab-HSE,Lab-HSE,Break,MAT ,CNA,

Section: B

Day,1,2,3,4,,5,6,
MON,CNA,FED ,EVS ,SPR ,Break,Lab-HSE,Lab-HSE,
TUE,MAT ,MAT ,FED ,HSE ,Break,BEIE,CNA,
WED,HSE ,Lab-CDL,Lab-CDL,Lab-CDL,Break,BEIE,MEN ,
THU,EVS ,MAT ,MAT ,CNA,Break,BEIE,FED ,
FRI,EVS ,Lab-CNA,Lab-CNA,Lab-CNA,Break,CNA,MAT ,





Department: EEE

